Golfer,Event,Year,Round,Score,Location,Date
Bubba Watson,US Open,2018,2,4,"Tahoe, New York",6/15/18
Gary Woodland,US Open,2018,1,9,"Tahoe, New York",6/14/18
Gary Woodland,US Open,2018,2,-1,"Tahoe, New York",6/15/18
Gary Woodland,US Open,2018,3,0,"Tahoe, New York",6/16/18
Gary Woodland,US Open,2018,4,5,"Tahoe, New York",6/17/18
Marc Leishman,US Open,2018,1,4,"Tahoe, New York",6/14/18
Marc Leishman,US Open,2018,2,-1,"Tahoe, New York",6/15/18
Marc Leishman,US Open,2018,3,8,"Tahoe, New York",6/16/18
Marc Leishman,US Open,2018,4,4,"Tahoe, New York",6/17/18
Cameron Smith,US Open,2018,1,9,"Tahoe, New York",6/14/18
Cameron Smith,US Open,2018,2,2,"Tahoe, New York",6/15/18
Justin Rose,PGA Championship,2018,1,-3,"Town and Country, Missouri",8/9/18
Justin Rose,PGA Championship,2018,2,-1,"Town and Country, Missouri",8/10/18
Justin Rose,PGA Championship,2018,3,-1,"Town and Country, Missouri",8/11/18
Justin Rose,PGA Championship,2018,4,-2,"Town and Country, Missouri",8/12/18
Dustin Johnson,PGA Championship,2018,1,-3,"Town and Country, Missouri",8/9/18
Dustin Johnson,PGA Championship,2018,2,-4,"Town and Country, Missouri",8/10/18
Dustin Johnson,PGA Championship,2018,3,2,"Town and Country, Missouri",8/11/18
Dustin Johnson,PGA Championship,2018,4,-1,"Town and Country, Missouri",8/12/18
Justin Thomas,PGA Championship,2018,1,-1,"Town and Country, Missouri",8/9/18
Justin Thomas,PGA Championship,2018,2,-5,"Town and Country, Missouri",8/10/18
Justin Thomas,PGA Championship,2018,3,-2,"Town and Country, Missouri",8/11/18
Justin Thomas,PGA Championship,2018,4,-2,"Town and Country, Missouri",8/12/18
Bryson DeChambeau,PGA Championship,2018,1,1,"Town and Country, Missouri",8/9/18
Bryson DeChambeau,PGA Championship,2018,2,0,"Town and Country, Missouri",8/10/18
Jon Rahm,PGA Championship,2018,1,-2,"Town and Country, Missouri",8/9/18
Jon Rahm,PGA Championship,2018,2,-3,"Town and Country, Missouri",8/10/18
Jon Rahm,PGA Championship,2018,3,-4,"Town and Country, Missouri",8/11/18
Jon Rahm,PGA Championship,2018,4,-2,"Town and Country, Missouri",8/12/18
Rickie Fowler,PGA Championship,2018,1,-5,"Town and Country, Missouri",8/9/18
Rickie Fowler,PGA Championship,2018,2,-3,"Town and Country, Missouri",8/10/18
Rickie Fowler,PGA Championship,2018,3,-1,"Town and Country, Missouri",8/11/18
Rickie Fowler,PGA Championship,2018,4,1,"Town and Country, Missouri",8/12/18
Rory McIlroy,PGA Championship,2018,1,0,"Town and Country, Missouri",8/9/18
Rory McIlroy,PGA Championship,2018,2,-3,"Town and Country, Missouri",8/10/18
Rory McIlroy,PGA Championship,2018,3,1,"Town and Country, Missouri",8/11/18
Rory McIlroy,PGA Championship,2018,4,0,"Town and Country, Missouri",8/12/18
Francesco Molinari,PGA Championship,2018,1,-2,"Town and Country, Missouri",8/9/18
Francesco Molinari,PGA Championship,2018,2,-3,"Town and Country, Missouri",8/10/18
Francesco Molinari,PGA Championship,2018,3,-2,"Town and Country, Missouri",8/11/18
Francesco Molinari,PGA Championship,2018,4,-3,"Town and Country, Missouri",8/12/18
Nick Watney,PGA Championship,2018,1,5,"Town and Country, Missouri",8/9/18
Nick Watney,PGA Championship,2018,2,-5,"Town and Country, Missouri",8/10/18
Nick Watney,PGA Championship,2018,3,0,"Town and Country, Missouri",8/11/18
Nick Watney,PGA Championship,2018,4,2,"Town and Country, Missouri",8/12/18
Jason Day,PGA Championship,2018,1,-3,"Town and Country, Missouri",8/9/18
Jason Day,PGA Championship,2018,2,-2,"Town and Country, Missouri",8/10/18
Jason Day,PGA Championship,2018,3,-3,"Town and Country, Missouri",8/11/18
Jason Day,PGA Championship,2018,4,1,"Town and Country, Missouri",8/12/18
Tony Finau,PGA Championship,2018,1,4,"Town and Country, Missouri",8/9/18
Tony Finau,PGA Championship,2018,2,-4,"Town and Country, Missouri",8/10/18
Tony Finau,PGA Championship,2018,3,-1,"Town and Country, Missouri",8/11/18
Tony Finau,PGA Championship,2018,4,-2,"Town and Country, Missouri",8/12/18
Paul Casey,PGA Championship,2018,1,5,"Town and Country, Missouri",8/9/18
Paul Casey,PGA Championship,2018,2,3,"Town and Country, Missouri",8/10/18
Bubba Watson,PGA Championship,2018,1,0,"Town and Country, Missouri",8/9/18
Bubba Watson,PGA Championship,2018,2,8,"Town and Country, Missouri",8/10/18
Gary Woodland,PGA Championship,2018,1,-6,"Town and Country, Missouri",8/9/18
Gary Woodland,PGA Championship,2018,2,-4,"Town and Country, Missouri",8/10/18
Gary Woodland,PGA Championship,2018,3,1,"Town and Country, Missouri",8/11/18
Gary Woodland,PGA Championship,2018,4,-1,"Town and Country, Missouri",8/12/18
Marc Leishman,PGA Championship,2018,1,-2,"Town and Country, Missouri",8/9/18
Marc Leishman,PGA Championship,2018,2,1,"Town and Country, Missouri",8/10/18
Marc Leishman,PGA Championship,2018,3,2,"Town and Country, Missouri",8/11/18
Marc Leishman,PGA Championship,2018,4,1,"Town and Country, Missouri",8/12/18
Cameron Smith,PGA Championship,2018,1,4,"Town and Country, Missouri",8/9/18
Cameron Smith,PGA Championship,2018,2,-4,"Town and Country, Missouri",8/10/18
Cameron Smith,PGA Championship,2018,3,3,"Town and Country, Missouri",8/11/18
Cameron Smith,PGA Championship,2018,4,-4,"Town and Country, Missouri",8/12/18
Justin Rose,US Open,2015,1,2,"University Place, Washington",6/18/15
Justin Rose,US Open,2015,2,0,"University Place, Washington",6/19/15
Justin Rose,US Open,2015,3,2,"University Place, Washington",6/20/15
Justin Rose,US Open,2015,4,1,"University Place, Washington",6/21/15
Brooks Koepka,US Open,2015,1,2,"University Place, Washington",6/18/15
Brooks Koepka,US Open,2015,2,2,"University Place, Washington",6/19/15
Brooks Koepka,US Open,2015,3,0,"University Place, Washington",6/20/15
Brooks Koepka,US Open,2015,4,-1,"University Place, Washington",6/21/15
Dustin Johnson,US Open,2015,1,-5,"University Place, Washington",6/18/15
Dustin Johnson,US Open,2015,2,1,"University Place, Washington",6/19/15
Dustin Johnson,US Open,2015,3,0,"University Place, Washington",6/20/15
Dustin Johnson,US Open,2015,4,0,"University Place, Washington",6/21/15
Bryson DeChambeau,US Open,2015,1,4,"University Place, Washington",6/18/15
Bryson DeChambeau,US Open,2015,2,5,"University Place, Washington",6/19/15
Rickie Fowler,US Open,2015,1,11,"University Place, Washington",6/18/15
Rickie Fowler,US Open,2015,2,3,"University Place, Washington",6/19/15
Rory McIlroy,US Open,2015,1,2,"University Place, Washington",6/18/15
Rory McIlroy,US Open,2015,2,2,"University Place, Washington",6/19/15
Rory McIlroy,US Open,2015,3,0,"University Place, Washington",6/20/15
Rory McIlroy,US Open,2015,4,-4,"University Place, Washington",6/21/15
Francesco Molinari,US Open,2015,1,-2,"University Place, Washington",6/18/15
Francesco Molinari,US Open,2015,2,3,"University Place, Washington",6/19/15
Francesco Molinari,US Open,2015,3,2,"University Place, Washington",6/20/15
Francesco Molinari,US Open,2015,4,2,"University Place, Washington",6/21/15
Jason Day,US Open,2015,1,-2,"University Place, Washington",6/18/15
Jason Day,US Open,2015,2,0,"University Place, Washington",6/19/15
Jason Day,US Open,2015,3,-2,"University Place, Washington",6/20/15
Jason Day,US Open,2015,4,4,"University Place, Washington",6/21/15
Tony Finau,US Open,2015,1,-1,"University Place, Washington",6/18/15
Tony Finau,US Open,2015,2,-2,"University Place, Washington",6/19/15
Tony Finau,US Open,2015,3,4,"University Place, Washington",6/20/15
Tony Finau,US Open,2015,4,1,"University Place, Washington",6/21/15
Paul Casey,US Open,2015,1,2,"University Place, Washington",6/18/15
Paul Casey,US Open,2015,2,-1,"University Place, Washington",6/19/15
Paul Casey,US Open,2015,3,3,"University Place, Washington",6/20/15
Paul Casey,US Open,2015,4,2,"University Place, Washington",6/21/15
Bubba Watson,US Open,2015,1,0,"University Place, Washington",6/18/15
Bubba Watson,US Open,2015,2,7,"University Place, Washington",6/19/15
Gary Woodland,US Open,2015,1,4,"University Place, Washington",6/18/15
Gary Woodland,US Open,2015,2,7,"University Place, Washington",6/19/15
Marc Leishman,US Open,2015,1,3,"University Place, Washington",6/18/15
Marc Leishman,US Open,2015,2,7,"University Place, Washington",6/19/15
Cameron Smith,US Open,2015,1,0,"University Place, Washington",6/18/15
Cameron Smith,US Open,2015,2,0,"University Place, Washington",6/19/15
Cameron Smith,US Open,2015,3,-1,"University Place, Washington",6/20/15
Cameron Smith,US Open,2015,4,-2,"University Place, Washington",6/21/15
